"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 21:00";"28.7";"752.5";"754.6";"1.8";"48";"Wind blowing from the east";"4";"";"";"50%.";" ";"";"";"28.7";"38.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.7";"";"";"";"";"";"";
"30.12.2017 18:00";"34.3";"750.7";"752.8";"-0.7";"48";"Wind blowing from the north";"3";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.7";"";"";"";"";"";"";
"30.12.2017 15:00";"36.2";"751.4";"753.6";"-0.9";"39";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.0";"";"";"";"";"";"";
"30.12.2017 12:00";"35.8";"752.3";"754.5";"-0.5";"38";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"30.12.2017 09:00";"30.3";"752.8";"754.9";"0.3";"46";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"24.3";"30.9";"";"";"";"";"";"10.0";"17.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"22.0";"";"";
"30.12.2017 06:00";"24.6";"752.5";"754.6";"0.5";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"30.12.2017 03:00";"28.2";"752.0";"754.2";"-1.1";"61";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"30.12.2017 00:00";"29.2";"753.1";"755.2";"0.6";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"29.12.2017 21:00";"30.9";"752.5";"754.6";"0.0";"41";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"30.0";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"16.2";"";"";"";"";"";"";
"29.12.2017 18:00";"34.4";"752.5";"754.6";"-1.2";"30";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"14.6";"";"";"";"";"";"";
